"variable_name","toolkit_canada_pct","omd_weighted_pct","difference","pct_difference"
"scheese",24.0739476389031,24.073947638903,-4.2632564145606e-14,-1.77090042668003e-13
"gcheese",12.0856340687611,12.0856340687611,-7.105427357601e-15,-5.87923423560133e-14
"flour",68.7451528044596,68.7451528044593,-3.12638803734444e-13,-4.54779414955585e-13
"dough",15.2674225622371,15.267422562237,-6.21724893790088e-14,-4.07223217445938e-13
"oflour",9.24513367536076,9.24513367536073,-3.5527136788005e-14,-3.84279319645626e-13
"pbmeat",18.1078823512314,18.1078823512313,-7.8159700933611e-14,-4.31633580435186e-13
"tofu",14.4307088331468,14.4307088331467,-4.61852778244065e-14,-3.20048573901794e-13
"hummus",24.3994838553985,24.3994838553984,-8.17124146124115e-14,-3.34894029302724e-13
"mealrepbev",4.14506563763756,4.14506563763755,-1.06581410364015e-14,-2.57128402011892e-13
"protpowder",11.5097766327664,11.5097766327663,-6.21724893790088e-14,-5.40171120280598e-13
"probiotics",4.22565218167912,4.22565218167911,-1.24344978758018e-14,-2.94262218970912e-13
"cannabis",6.02676446035887,6.02676446035885,-2.1316282072803e-14,-3.53693631350804e-13
"pizza",20.1,20.1276450027017,0.0276450027017212,0.137537326874235
"potpie",3.6,3.63133733163235,0.031337331632348,0.870481434231888
"frozenm",9.9,9.87890363387299,-0.0210963661270078,-0.213094607343513
"frozens",6.1,6.09616252670636,-0.00383747329363704,-0.0629093982563449
"granola",37.5,37.5244353791016,0.0244353791015683,0.0651610109375156
"chips",53.9,53.8649376683504,-0.0350623316495842,-0.0650507080697294
"choc",63.9,63.9010592609545,0.00105926095451281,0.00165768537482443
"coldbc",54.3,54.2757164378945,-0.0242835621055022,-0.044721108849912
"hotbc",28.5,28.4571393761455,-0.0428606238544837,-0.150388153875382
"Q109_A",27.4,27.3745882393643,-0.0254117606357411,-0.0927436519552596
"Q109_B",13.5,13.476302467741,-0.023697532259046,-0.175537275992934
"Q109_C",16.7,16.682219516949,-0.0177804830509842,-0.106469958389127
"Q110_Q111_dv",53.6,53.5976421747395,-0.00235782526051054,-0.00439892772483309
"Q1",10.9,10.8502201892983,-0.0497798107016774,-0.456695511024563
"Q2",18.5,2.4539488629006,-16.0460511370994,-86.7354115518886
"Q3",20.5,20.4562454629724,-0.0437545370275956,-0.213436765988271
"Q4",22.9,22.8583487224626,-0.0416512775373761,-0.181883308023476
"butcher",24.3666285657583,24.3666285657582,-9.59232693276135e-14,-3.9366656354918e-13
"mealkit",4.12662863216531,4.1266286321653,-8.88178419700125e-15,-2.15231003046204e-13
"Q118",2.6,2.57840696242658,-0.0215930375734161,-0.83050144513139
"swim",19.3,6.36819287755756,-12.9318071224424,-67.004181981567
"domanim",62.9218492677991,62.9218492677987,-4.33431068813661e-13,-6.8884032153752e-13
"animfddry",45.0066355010936,45.0066355010934,-2.1316282072803e-13,-4.73625318477428e-13
"animfdraw",6.10226496848566,6.10226496848564,-2.30926389122033e-14,-3.78427338561373e-13
"cattle",2.01924632726747,2.01924632726746,-7.105427357601e-15,-3.51885119792016e-13
"poultry",3.26454752851714,3.26454752851713,-1.06581410364015e-14,-3.26481417204018e-13
"pig",0.767940449037086,0.767940449037083,-2.55351295663786e-15,-3.32514449504475e-13
