uniqueid,Q145FSD,Q145_E_FS,Q146_FS,Q133_A_dv,Q133_B_dv,Q133_C_dv,Q133_D_dv,Q133_E_dv,Q133_F_dv,Q133_G_dv,Q134_A_dv,Q134_B_dv,Q134_C_dv,Q134_D_dv,AQEND_DATE,month_dv,age_grp_dv,gender,CHI_ADU,AQINTRO4B_dv,AQINTRO4C_dv,AQ165A_dv,AQ165_dv,AQ166_dv,AQ167_dv,cma_dv,QINTRO3,QLANGUAGE_dv,education,income,weight_kg_5pct_dv,height_cm_5pct_dv,bmi_cole_dv,bmi_is_dv,proxy_dv,EXPWEIGHT_CMA2_dv,AQ145_B_FS_dv
124,,,,1,1,2,2,2,2,2,2,2,2,2,20140505,5,3,2,1,2,2,,4,1,3,34,1,,,3,1,1,1,5,1,1137,
125,,,,1,2,2,2,1,2,1,2,1,2,2,20140419,4,9,1,4,,,,2,1,1,34,1,,2,,5,5,3,4,3,1927,
126,,,,2,2,2,2,2,2,2,2,2,2,2,20140709,7,2,2,1,2,2,,4,1,2,30,1,2,,2,1,1,1,5,1,2267,
127,,,,1,2,2,1,1,2,2,2,2,2,2,20140626,6,9,1,3,,2,2,2,1,1,34,1,1,7,3,5,5,2,3,3,1927,
128,,,,2,2,2,2,2,2,2,2,2,2,2,20140415,4,6,1,4,,,,4,1,2,30,1,,4,2,2,3,1,2,3,16090,
129,,,,2,2,2,2,2,2,2,2,2,2,2,20140508,5,1,1,1,2,2,,4,1,2,30,1,,,4,1,1,2,5,1,1995,
130,,,,2,2,2,2,2,2,2,2,2,2,2,20140616,6,8,2,3,,2,2,2,1,0,30,1,1,1,,1,1,1,2,3,21244,
131,,,,2,2,2,2,2,2,2,2,2,2,2,20140509,5,8,2,3,,2,,2,1,1,31,1,,7,4,2,1,1,2,3,4291,
132,,,,2,2,2,2,2,2,2,1,1,2,2,20140610,6,1,1,1,3,2,2,5,1,2,30,1,1,,,1,,,,1,2494,
133,,,,1,2,2,2,1,2,2,2,2,2,2,20140708,7,1,1,1,3,2,,5,1,2,34,1,1,,4,1,1,2,5,1,1141,
134,,,,1,1,2,2,1,2,2,2,2,2,1,20140620,6,10,2,3,,1,,1,1,1,31,1,1,6,2,2,2,1,2,3,616,
135,,,,2,2,2,2,2,2,2,1,2,2,1,20140709,7,1,2,1,3,3,,6,2,3,30,1,2,,4,1,,,,1,2381,
136,,,,1,1,2,2,1,2,1,2,1,2,2,20140506,5,5,2,3,,2,,2,1,2,31,1,,4,2,3,1,2,3,3,2861,
137,,,,1,2,2,2,2,2,2,2,2,2,2,20140509,5,1,1,1,3,2,,5,1,2,31,1,,,4,1,,,,1,2970,
138,,,,1,2,2,1,1,2,2,2,2,2,2,20140414,4,8,2,4,,,,1,1,1,34,1,,2,2,5,4,3,4,3,1407,
139,,,,1,2,2,2,1,2,2,2,2,2,2,20140509,5,2,2,1,3,3,1,6,1,3,34,1,,,,,,,,1,602,
140,,,,2,2,2,2,2,2,2,2,2,2,2,20140506,5,10,2,3,,1,,1,1,1,30,1,,2,,2,1,1,2,3,1879,
141,,,,2,2,2,2,2,2,2,2,2,2,2,20140505,5,4,2,3,,3,1,3,1,0,30,1,,,1,2,1,1,2,3,3488,
142,,,,2,2,2,2,2,2,2,2,2,2,2,20140412,4,9,2,4,,,,1,1,0,30,1,,2,1,5,2,3,4,3,3757,
143,,,,1,2,2,2,2,2,2,2,1,2,2,20140507,5,2,2,1,2,2,2,4,1,2,31,1,,,4,1,1,1,5,1,1595,
144,,,,2,2,2,2,2,2,2,2,2,2,2,20140506,5,9,2,3,,1,,1,1,1,30,1,,4,1,,3,,,3,1879,
145,,,,,2,2,2,2,2,2,2,2,2,2,20140508,5,2,1,1,1,2,2,3,1,1,34,1,,,4,1,1,1,5,1,1027,
146,,,,2,2,2,2,2,2,2,2,2,2,2,20140703,7,5,1,3,,1,,1,0,1,31,1,1,6,1,3,5,1,2,3,7225,
147,,,,1,2,2,2,1,2,2,2,1,2,2,20140709,7,1,1,1,1,2,,3,1,2,31,1,1,,4,1,1,3,5,1,1782,
148,,,,1,2,2,2,1,2,2,2,2,2,2,20140509,5,2,2,1,1,2,,3,1,1,34,1,,,2,1,1,1,5,1,753,
149,,,,2,2,2,2,2,2,2,2,2,2,2,20140507,5,3,2,1,3,2,,5,1,3,30,1,,,4,,,,,1,2955,
150,,,,2,2,2,2,2,2,2,2,2,2,2,20140414,4,4,1,4,,,,3,1,3,31,1,,,4,3,4,1,5,,723,
151,,,,1,2,2,2,2,2,1,2,1,2,2,20140414,4,6,2,4,,,,4,2,3,1,1,,4,3,3,3,1,2,3,2029,
152,,,,2,2,2,2,2,2,2,2,1,2,2,20140521,5,3,2,1,1,1,,2,1,1,30,1,1,,,,1,,,1,2364,
153,,,,1,2,2,2,1,2,2,2,2,2,2,20140513,5,9,2,3,,1,1,1,1,1,30,1,1,2,2,1,1,1,2,3,1879,
154,,,,2,1,2,2,2,2,2,2,2,2,2,20140514,5,8,1,3,,2,,2,1,2,30,1,1,4,4,5,4,2,3,3,8045,
155,,,,1,2,1,2,1,2,2,2,2,2,2,20140521,5,6,1,3,,2,,2,1,1,34,1,1,4,4,5,5,3,4,3,4817,
156,,,,1,1,1,2,1,2,2,2,2,2,1,20140412,4,9,2,4,,,,1,1,1,34,1,,5,1,5,3,3,4,3,599,
157,,,,1,2,2,2,1,2,2,2,2,2,2,20140514,5,6,1,2,3,2,,5,1,2,34,1,1,5,4,5,5,3,4,3,17564,
158,,,,2,2,2,2,2,2,2,2,2,2,2,20140514,5,10,1,3,,3,,3,1,1,34,1,1,2,1,2,4,1,2,3,2890,
159,,,,1,2,2,2,2,2,2,2,2,2,2,20140514,5,7,2,3,,2,2,2,2,0,34,1,1,1,2,4,3,2,3,2,2814,
160,,,,1,2,2,2,1,2,2,2,2,2,2,20140522,5,3,2,1,1,2,,3,1,1,34,1,1,,,1,2,2,5,1,1705,
161,,,,1,2,2,2,2,2,2,2,2,2,2,20140415,4,2,2,4,,,,3,1,2,30,1,,,4,1,1,3,5,1,1701,
162,,,,2,2,2,2,2,2,2,2,2,2,1,20140513,5,7,1,3,,2,2,2,1,3,1,1,1,7,4,5,3,3,4,3,1312,
163,,,,2,2,2,2,2,2,2,2,2,2,2,20140419,4,1,1,4,,,,3,2,1,34,1,,,1,1,1,4,5,1,685,
164,,,,2,2,2,2,2,2,2,2,1,2,2,20140514,5,8,1,3,,1,,1,1,0,30,1,,5,,3,5,1,2,3,12067,
165,,,,2,2,2,2,2,2,2,2,2,2,2,20140421,4,4,2,4,,,,2,1,2,34,1,,,,1,3,1,2,3,758,
166,,,,1,2,2,2,1,2,2,2,1,2,1,20140608,6,2,1,1,1,2,,3,1,2,34,1,1,,4,1,1,1,5,1,685,
167,,,,1,2,2,2,1,2,2,2,2,2,2,20140506,5,8,1,2,1,3,1,4,1,3,31,1,,2,4,4,5,1,2,3,22068,
168,,,,2,2,2,2,2,2,2,2,2,2,2,20140515,5,3,1,1,1,2,,3,1,3,30,1,1,,4,1,1,2,5,1,1746,
169,,,,2,2,2,2,2,2,2,2,2,2,2,20140703,7,7,2,3,,1,,1,1,3,30,1,1,4,4,4,3,2,3,3,2656,
170,,,,2,2,2,2,2,2,2,2,2,2,2,20140518,5,1,1,1,2,2,,4,1,2,34,1,1,,3,1,1,4,5,1,913,
171,,,,1,1,2,2,2,2,2,2,2,2,2,20140506,5,6,1,2,2,2,2,4,1,2,34,1,,7,4,3,4,1,2,3,14051,
