"variable_name","exposure_number","category","exposure","is_foodbook1_only"
"cannabis",289,"DRIED/PROCESSED/OTHER","Aliments ou boissons contenant du cannabis",FALSE
"pizza",290,"DRIED/PROCESSED/OTHER","Pizzas surgelées*",TRUE
"potpie",291,"DRIED/PROCESSED/OTHER","Tourtes surgelées*",TRUE
"frozenm",292,"DRIED/PROCESSED/OTHER","Repas congelés dans un sac ou une boîte*",TRUE
"frozens",293,"DRIED/PROCESSED/OTHER","Grignotines ou hors-d'œuvre congelés*",TRUE
"granola",294,"DRIED/PROCESSED/OTHER","Barres de céréales, barres énergétiques ou autres barres protéinées*",TRUE
"chips",295,"DRIED/PROCESSED/OTHER","Croustilles ou bretzels*",TRUE
"choc",296,"DRIED/PROCESSED/OTHER","Chocolats ou bonbons contenant du chocolat*",TRUE
"coldbc",297,"DRIED/PROCESSED/OTHER","Céréales à déjeuner froides*",TRUE
"hotbc",298,"DRIED/PROCESSED/OTHER","Céréales à déjeuner chaudes*",TRUE
"Q109_A",299,"DRIED/PROCESSED/OTHER","Aliments de style asiatique*",TRUE
"Q109_B",300,"DRIED/PROCESSED/OTHER","Aliments de style indien*",TRUE
"Q109_C",301,"DRIED/PROCESSED/OTHER","Aliments de style mexicain*",TRUE
"Q110_Q111_dv",302,"DRIED/PROCESSED/OTHER","Repas dans un restaurant-minute*",TRUE
"babyfoods",303,"DRIED/PROCESSED/OTHER","",FALSE
"fb1_anybabyformula",304,"DRIED/PROCESSED/OTHER","Tout type de préparations pour nourrissons*",TRUE
"Q1",305,"DRIED/PROCESSED/OTHER","Préparations pour nourrissons liquide/en conserve*",TRUE
"Q2",306,"DRIED/PROCESSED/OTHER","Préparations pour nourrissons en poudre*",TRUE
"Q3",307,"DRIED/PROCESSED/OTHER","Aliments en purées pour nourrissons du commerce*",TRUE
"Q4",308,"DRIED/PROCESSED/OTHER","Céréales pour nourrissons et tout-petits*",TRUE
"butcher",310,"DRIED/PROCESSED/OTHER","Viande d’une boucherie",FALSE
"foodfarm",311,"DRIED/PROCESSED/OTHER","",FALSE
"producefarm",312,"DRIED/PROCESSED/OTHER","Fruits et légumes du marché ou de la ferme d'un fermier",FALSE
"eggfarm",313,"DRIED/PROCESSED/OTHER","Œufs du marché ou de la ferme d'un fermier",FALSE
"meatfarm",314,"DRIED/PROCESSED/OTHER","Viandes du marché ou de la ferme d'un fermier",FALSE
"dairyfarm",315,"DRIED/PROCESSED/OTHER","Fromage et produits laitiers du marché ou de la ferme d'un fermier",FALSE
"mealkit",316,"DRIED/PROCESSED/OTHER","Consommé des aliments provenant d’un service de livraison de boîtes repas",FALSE
"organic",318,"DIETS","Consomme toujours ou parfois des produits biologiques",FALSE
"kosher",319,"DIETS","Régime casher",FALSE
"vegan",320,"DIETS","Régime végétalien",FALSE
"vegetarian",321,"DIETS","Régime végétarien",FALSE
"halal",322,"DIETS","Régime halal",FALSE
"drankhomew",324,"EAU","Eau potable fournie à la résidence",FALSE
"cmunicipal",326,"EAU","Eau de la municipalité ou de la ville",FALSE
"cwell",327,"EAU","Puits privé",FALSE
"ctruckedin",328,"EAU","Eau approvisionnée par des camions-citernes",FALSE
