"variable_name","exposure_number","category","exposure","is_foodbook1_only"
"avocadoz",85,"FRUITS","Frozen avocado",FALSE
"melon",86,"FRUITS","Any melon",FALSE
"cantaloup",87,"FRUITS","Cantaloupe",FALSE
"cantaloupf",88,"FRUITS","Fresh cantaloupe",FALSE
"cantaloupz",89,"FRUITS","Frozen cantaloupe",FALSE
"honeydew",90,"FRUITS","Honeydew melon",FALSE
"honeydewf",91,"FRUITS","Fresh honeydew melon",FALSE
"honeydewz",92,"FRUITS","Frozen honeydew melon",FALSE
"watermel",93,"FRUITS","Watermelon",FALSE
"watermelf",94,"FRUITS","Fresh watermelon",FALSE
"watermelz",95,"FRUITS","Frozen watermelon",FALSE
"peach",96,"FRUITS","Peaches",FALSE
"peachf",97,"FRUITS","Fresh peaches",FALSE
"peachz",98,"FRUITS","Frozen peaches",FALSE
"nectarine",99,"FRUITS","Nectarines",FALSE
"nectarinef",100,"FRUITS","Fresh nectarines",FALSE
"nectarinez",101,"FRUITS","Frozen nectarines",FALSE
"anyberry",102,"FRUITS","Any berries",FALSE
"strawb",103,"FRUITS","Strawberries",FALSE
"strawbf",104,"FRUITS","Fresh strawberries",FALSE
"strawbz",105,"FRUITS","Frozen strawberries",FALSE
"strawbd",106,"FRUITS","Dried strawberries",FALSE
"raspb",107,"FRUITS","Raspberries",FALSE
"raspbf",108,"FRUITS","Fresh raspberries",FALSE
"raspbz",109,"FRUITS","Frozen raspberries",FALSE
"raspbd",110,"FRUITS","Dried raspberries",FALSE
"blueb",111,"FRUITS","Blueberries",FALSE
"bluebf",112,"FRUITS","Fresh blueberries",FALSE
"bluebz",113,"FRUITS","Frozen blueberries",FALSE
"bluebd",114,"FRUITS","Dried blueberries",FALSE
"blackb",115,"FRUITS","Blackberries",FALSE
"blackbf",116,"FRUITS","Fresh blackberries",FALSE
"blackbz",117,"FRUITS","Frozen blackberries",FALSE
"blackbd",118,"FRUITS","Dried blackberries",FALSE
"coconut",119,"FRUITS","Coconut",FALSE
"coconutf",120,"FRUITS","Fresh coconut",FALSE
"coconutz",121,"FRUITS","Frozen coconut",FALSE
"coconutd",122,"FRUITS","Dried/shredded coconut",FALSE
"apple",123,"FRUITS","Apples*",TRUE
"pear",124,"FRUITS","Pears*",TRUE
"apricot",125,"FRUITS","Apricots*",TRUE
"plum",126,"FRUITS","Plums*",TRUE
"citrus",127,"FRUITS","Citrus fruits*",TRUE
"cherry",128,"FRUITS","Cherries*",TRUE
"grape",129,"FRUITS","Grapes*",TRUE
"banana",130,"FRUITS","Bananas*",TRUE
"pineapple",131,"FRUITS","Pineapple*",TRUE
"olive",132,"FRUITS","Olives*",TRUE
"kiwi",133,"FRUITS","Kiwi*",TRUE
"fruitbz",134,"FRUITS","Bag of mixed frozen fruit or berries",FALSE
"anyfruitz",135,"FRUITS","Any frozen fruit*",TRUE
"berriesz",136,"FRUITS","Frozen berries*",TRUE
"fruitz",137,"FRUITS","Frozen fruit (not including berries)*",TRUE
"dryfruit",138,"FRUITS","Dried fruit*",TRUE
"fruitsm",139,"FRUITS","Fruit smoothies (at home or store-bought)",FALSE
"unpjorc",140,"FRUITS","Unpasteurized apple cider or fruit juice",FALSE
"unpjuice",141,"FRUITS","Unpasteurized fruit juice*",TRUE
"anynut",143,"FRUITS","Any nuts",FALSE
"peanut",144,"FRUITS","Peanuts (not including peanut butter)",FALSE
"pnbutter",145,"FRUITS","Peanut butter",FALSE
"almond",146,"FRUITS","Almonds (excluding almond butter)",FALSE
"abutter",147,"FRUITS","Almond butter/spread",FALSE
"walnut",148,"FRUITS","Walnuts",FALSE
"hazelnut",149,"FRUITS","Hazelnuts (Filberts)",FALSE
"hspread",150,"FRUITS","Butter/spread containing hazelnuts",FALSE
"cashew",151,"FRUITS","Cashews",FALSE
"cbutter",152,"FRUITS","Cashew butter/spread",FALSE
"pecan",153,"FRUITS","Pecans",FALSE
"onut",154,"FRUITS","Other nuts",FALSE
"nutpaste",155,"FRUITS","Other nut paste, butter or spread*",TRUE
"anyseed",156,"FRUITS","Any seeds",FALSE
"sunflwsd",157,"FRUITS","Sunflower seeds",FALSE
"ssbutter",158,"FRUITS","Butter or paste containing sunflower seeds",FALSE
"sesamesd",159,"FRUITS","Sesame seeds",FALSE
"tahini",160,"FRUITS","Tahini, including home made hummus",FALSE
"tahinifb1",161,"FRUITS","Tahini, halva or other products made from sesame seeds*",TRUE
"chia",162,"FRUITS","Chia seeds/chia seed powder",FALSE
"flax",163,"FRUITS","Flax seeds/flax seed powder",FALSE
"oseed",164,"FRUITS","Other seeds",FALSE
"anybeef",166,"BEEF","Any beef (not including deli-meat)",FALSE
"anygroundbeef",167,"BEEF","Any ground beef",FALSE
"bgroundraw",168,"BEEF","Ground beef consumed raw or undercooked",FALSE
"bground",169,"BEEF","Any other ground beef*",TRUE
"hamb",170,"BEEF","Any hamburgers",FALSE
"zbeefpatties",171,"BEEF","Store-bought frozen beef patties",FALSE
"hambhome",172,"BEEF","Home-made hamburgers*",TRUE
"hambrest",173,"BEEF","Hamburgers from a restaurant or fast food establishment*",TRUE
"rawbeef",174,"BEEF","Raw beef",FALSE
"steak",175,"BEEF","Steak",FALSE
"stewingb",176,"BEEF","Stewing beef",FALSE
"veal",177,"BEEF","Veal",FALSE
"sausage_beef",178,"BEEF","Beef sausage (excluding dried)",FALSE
"bwhole",179,"BEEF","Other whole-cut beef products",FALSE
